seed,input,predicted_label,predicted_explanation
1111,A young blond child wearing only a diaper sits on a large rock at the edge of a body of water while a large black dog stands in the water nearby. A dog stands in some water while a diaper wearing kid sits on a rock.,entailment,a dog stands in water.
1111,a blue and gray race car driving on a dirt track. A race car is driving on a dirt track.,entailment,a blue and gray race car is driving on a dirt track.
1111,"Two men, one rowing and one sitting, in a canoe surrounded by a body of water. People are in a canoe.",entailment,two men are rowing and one is sitting in a canoe.
1111,Three people in coats stand in front of a blue building. Three people in coats are standing in front of a building.,entailment,the blue building is a blue building.
1111,Young players engage in the sport of Water polo while others watch. People are watching and playing a water polo match.,entailment,young players are playing while others are watching.
1111,An athlete on the Slough Jets hockey team is skating on an ice rink with a hockey stick equipped. A person ice skating.,entailment,a person skating on an ice rink with a hockey stick equipped.
1111,"A man who appears to be homeless, sitting on the ground with a blue jacket on and a bald spot in the middle of his head. a man is sitted",entailment,"a man appears to be homeless, sitting on the ground with a blue jacket on and a bald spot in the middle of his head."
1111,A sleeping toddler has toppled out of his crib. A baby,entailment,a sleeping toddler has toppled out of his crib.
1111,A man standing on a street in the city playing the accordion. A street performer with his accordion.,entailment,a man is a street performer.
1111,"A Jockey in a blue helmet, red shirt and white pants is riding a race horse with 'sparkasse' signs in the background. There is a jockey riding a horse.",entailment,there is a jockey riding a horse.
1111,A photographer snaps a midair action shot of a snowboarder. The photographer has a camera.,entailment,snowboarder is a snowboarder and a snowboarder has a camera.
1111,A group of people sitting in a grassy area under a pink and white blossoming tree. there is a group of people outdoors.,entailment,the blossoming tree is not a tree and people are sitting outside.
1111,A little girl in a purple cap blows soap bubbles. There are soap bubbles being blown.,entailment,a little girl in a purple cap blows soap bubbles.
1111,Two women wearing black t-shirts are sitting in the grass. women wearing t-shirts hang out on the grass,entailment,two women sitting in the grass is not a woman sitting in the grass
1111,A woman in a blue shirt stands with her hands on her hips. The woman in the blue shirt is touching herself.,entailment,she is touching herself.
1111,Five people are playing in a gymnasium. five people playing,entailment,there are five people playing in a gymnasium.
1111,4 people are lying down stacked on top of one another on a white sheet placed on the ground. 4 people piled up on each other on top of a white sheet.,entailment,the white sheet is a white sheet placed on the ground.
1111,a girl wearing pink shoes jumps off a swing in a park The girl is at the park.,entailment,the girl is at the park.
1111,A cabin shot of a very crowded airplane The airplane is quite crowded.,entailment,the airplane is crowded.
1111,A crowd of people in a lightly snow covered opening with trees to the left and buildings in the background. The people are near a building.,entailment,the people are near a building.
1111,Football players playing in mud. Football players are dirty.,entailment,football players are dirty.
1111,Several firemen stand or sit on a gray roof while working. Several fireman are working on a gray roof.,entailment,firemen stand or sit on a gray roof while working.
1111,An Asian woman is looking at the camera while trimming asparagus. Woman cuts vegetables.,entailment,Asian woman is looking at the camera while trimming asparagus.
1111,A man and a woman are talking in a park A pair of people are talking outdoors.,entailment,a man and a woman are talking in a park.
1111,Three workers bent over pulling grass. Three workers bent over,entailment,pulling grass is pulling workers.
1111,A man wearing a blue jacket is looking at a glass bottle while the person next to him enjoys his food. The jacket is blue.,entailment,the jacket is blue.
1111,A group of Asian men pose around a large table after enjoying a meal together. A group of Asian men pose for a picture.,entailment,a group of Asian men can be a group of men after enjoying a meal together.
1111,An Asian woman stands along a road where 2 buses have passed holding her bags. There is a Asian woman.,entailment,there is a Asian woman.
1111,A couple is a standing together the woman is adjusting a flower on the man's lapel and they are dressed in wedding apparel. People are going to a wedding.,entailment,they are going to a wedding.
1111,A woman with a purple purse sits on the metro with her suitcase. A woman sitting down.,entailment,she is sitting down.
1111,Three individuals are wearing tight blue nylon suits with one instructor in all black with a ponytail assisting them with putting on harnesses. Three individuals are wearing tight blue nylon suits.,entailment,one instructor in all black with a ponytail assists them with putting on harnesses.
1111,A man snowboards. A man is standing on a snowboard.,entailment,a man snowboards.
1111,Many women shoppers walking on suburban street. women are outdoors,entailment,women are outdoors.
1111,A woman on vacation enjoying a vanilla ice cream cone. A woman is eating cold ice cream.,entailment,on vacation a woman is eating cold ice cream.
1111,Two men help an injured player on the field. Some men help an injured player on the field.,entailment,two men help an injured player on the field.
1111,A small group of adults and children are in a room with large glass windows and using rolling pins. A small group of people are gathered to use rolling pins.,entailment,a small group of people are in a room with large glass windows and using rolling pins.
1111,Female sitting in a chair in front of a hazy field. A woman is sitting.,entailment,a woman is sitting in a chair in front of a hazy field.
1111,Two ice fishers watch on as a third attempts to cut out a portion of ice with a chainsaw. Ice fisherman gain access to the water.,entailment,the ice fisherman are not able to get access to the water
1111,"Men in dark clothes and women in dark, decorative skirts are looking at books while another man is standing in front of them holding a circular object. people looking at books",entailment,they are looking at books.
1111,A band on stage playing a song with a banner in the background that says Screaming Orphans. A band is playing on a stage.,entailment,a band is playing a song with a banner in the background that says Screaming Orphans.
1111,Two people standing in front of a waterfall scenery. Two people are in front of some scenery.,entailment,two people are standing in front of a waterfall scenery.
1111,A group of people are sitting at a table having a meal. A group of people are sitting.,entailment,people are eating at a table.
1111,There is a man wearing a red shirt and brown shorts jumping up to hit a tennis ball with a racket. A man is wearing a red shirt,entailment,a man is jumping up to hit a tennis ball with a racket.
1111,"Man in green vest directing traffic in snowy conditions, pedestrians standing on the sidelines. A man is directing traffic",entailment,a man in green vest is directing traffic in snowy conditions.
1111,The man is walking the bride down the aisle. A guy is participating in a wedding.,entailment,a guy is walking the bride down the aisle.
1111,Seven children all jump as the photo is taken. Children are getting their picture taken.,entailment,seven children all jump as the photo is taken.
1111,Masked actors perform traditional Japanese theater. There are multiple people present.,entailment,masked actors perform traditional Japanese theater.
1111,A brown dog is pulling itself out of the water onto some rocks with a tennis ball in its mouth. The animal is walking through rocks.,entailment,the dog is pulling itself out of the water onto rocks with a tennis ball in its mouth.
1111,A woman building herself a sand castle. a women is making a sand castle,entailment,a woman is building herself a sand castle.
1111,A man with a plaid shirt and green hat mows the lawn near the sidewalk. A man mowing a lawn by the sidewalk.,entailment,a man with a plaid shirt and green hat mows the lawn near the sidewalk.
1111,A teacher wearing a red and black striped shirt is conducting a class of about 20 playing music. A class of people play music as a red and black wearing teacher conducts them.,entailment,a class of people is a class of people playing music.
1111,A man in a hat and jacket standing on the sidewalk with a pile of trash in front of him. A man standing on the sidewalk.,entailment,a man in a hat and jacket standing on the sidewalk with a pile of trash in front of him.
1111,People standing around a busy outdoor market. People are outside.,entailment,a market is outside.
1111,Four children are dressed as clowns and dancers on a stage while another two children dressed as clowns are suspended from ropes. Six children are putting on a clown show.,entailment,six children are putting on a clown show.
1111,An older man looks over a younger man wielding an ax chopping wood in a fall setting. Men are outdoors.,entailment,men are outdoors.
1111,A person is climbing and has nearly reached the sign at the top a person outside,entailment,a person is climbing and has nearly reached the sign at the top.
1111,"Bald man in white and black shorts, punching man with black hair, and red, orange and blue shorts. A man punches another man.",entailment,man is a man and not a man with shorts.
1111,"A man in a green safety jacket and pants stands, facing away, near bags of trash while people stand on the curb across the street. A person in a jacket",entailment,a man in a jacket is a person who is facing away from bags of trash.
1111,Two young girls looking at Barbie dolls. Two girls are watching dolls.,entailment,two girls are watching dolls.
1111,A group of females are sitting down on a bench. There are at least 2 females.,entailment,there are 2 females sitting on a bench.
1111,A man with a checkered shirt on is giving a powerpoint presentation to people. a man is giving a presentation,entailment,a man is giving a presentation to people.
1111,"A guy with long hair, a ball cap, and a blue shirt is smiling as he walks along the boardwalk the man is walking",entailment,he is smiling as he walks along the boardwalk.
1111,There are people walking down a busy nighttime street with signs lighting the way. People are walking down a busy street.,entailment,people are walking down a busy nighttime street with signs lighting the way.
1111,A white race dog wearing the number eight runs on the track. A dog is running.,entailment,a dog is running.
1111,A woman with dark hair and a red dress sits next to a little girl with blond-hair and a white dress while reading a book. A person with hair,entailment,a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with hair a person with
1111,"A young man is washing his hair, brushing his teeth, and shaving his face simultaneously. The young man is grooming himself.",entailment,grooming is grooming.
1111,Four girls and a lady learning how to do some crafts. Crafts are being done.,entailment,four girls and a lady are learning how to do some crafts.
1111,A woman hanging out her laundry on the line. A lady does her laundry.,entailment,a woman hangs out her laundry on the line.
1111,An Asian man attempting to repair a green bicycle outdoors while two other Asian men stand by. Some humans,entailment,humans are not able to repair bicycles.
1111,Man dog sledding with his child in the icy snow. People with a dog sled in the snow.,entailment,dog sledding is a dog sledding with a child.
1111,Elderly woman with green sweater picking out produce in outdoor market. The elderly lady is at the market,entailment,the woman is picking out produce in outdoor market.
1111,"Groups of people walking different directions, mostly dressed in dark blues and dressed to stay warm. A group of people diverge from each other.",entailment,walking different directions is a way of walking.
1111,A man is photographing a small staked camel and a woman is trying to walk past it. A man is taking a picture.,entailment,a man is photographing a small staked camel and a woman is trying to walk past it.
1111,"A father helps his son ride a bike across dry, and dusty dirt accompanied by his sister adorned in a green dress. Someone is wearing a dress",entailment,a dress is a dress.
1111,People are gathered by a tree beside a line of white tents. People are gathered near a tree in proximity of white tents.,entailment,people are gathered by a tree in proximity of white tents.
1111,"A young boy plays in the sprinklers, allowing the water to spray completely over his right arm. A boy is playing in the water sprinkler.",entailment,a boy is playing in the water sprinklers.
1111,"two wrestlers wrestling, the one on the bottom is in submission and could possibly be in pain. One wrestler wrestles the other onto the bottom in their fight",entailment,one wrestler is in submission and could possibly be in pain.
1111,A woman wearing a blue hairnet and apron talks over her shoulder as she grasps a plastic pitcher. A woman is wearing a hairnet.,entailment,a woman is wearing a hairnet and apron and she is talking over her shoulder as she grasps a plastic pitcher.
1111,"Two teams of children, one green the other red, play each other in a game of Rugby while it rains. The childrens rugby teams, red versus green are playing in the rain.",entailment,the children are playing in the rain.
1111,Two kids in winter clothing play near a lakefront. kids playing near a lake,entailment,they are in winter clothing.
1111,A woman wearing sunglasses is holding a pink cellphone to her ear. A lady is on her cellphone.,entailment,a woman wearing sunglasses is on her cellphone.
1111,This is the image of two Asian men squatting near a mop-pad. This picture is of two Asian men.,entailment,squatting is a squatting.
1111,Asian man giving thumbs up on street. An Asian man is giving a thumbs up.,entailment,a man is giving thumbs up on street.
1111,A girl wearing a maroon shirt leaps into the air while in the woods. A girl is outdoors.,entailment,the girl is outdoors.
1111,A young man in a blue checkered dress shirt sits with a young woman in a black and white striped shirt and another young woman in a white shirt as they sit on each of his legs in a park. People are sitting in a public area.,entailment,they are sitting in a public area.
1111,A skateboarder goes down a railing. A skateboarder slides down a railing.,entailment,the skateboarder is not a slider.
1111,A woman at a campground. A woman outside.,entailment,a woman at a campground is outside.
1111,A Asian man in a red and yellow uniform diving for the birdie in a game A uniformed individual of asian descent retrieves a birdie,entailment,asian man in a red and yellow uniform dives for the birdie in a game.
1111,Three dogs drinking water at a public spigot. Dogs drink water in public.,entailment,dogs drink water in public.
1111,A young boy and his dog play at the edge of a public beach. the kid plays with his dog at the beach,entailment,the boy is a boy and his dog is a dog.
1111,A man standing in front of a chalkboard points at a drawing. A man pointing at something,entailment,a man is pointing at a drawing.
1111,Two commandos with gun by a staircase and an old man holding a hat is sitting on the stairs. Two soldiers carry weapons.,entailment,two soldiers carry guns by a staircase and an old man holding a hat is sitting on the stairs.
1111,"Two hikers crossing a snowy field, with mountainous terrain behind them. Two hikers are returning to base camp.",neutral,the hikers are not returning to base camp.
1111,A group of people are sitting under umbrellas on the beach. It is a saturday,neutral,it is a Saturday.
1111,Two people sitting on a bench by the water with a dog. Two people are enjoying a day with their dog,neutral,the dog is not a person and not a dog is not a person.
1111,a boy walks through the water. A boy walks through water in a fountain.,neutral,a boy walks through water in a fountain.
1111,Man in red shirt about to have a barbecue Sad man in red shirt about to have a barbecue,neutral,man in red shirt is a sad man.
1111,A young man wearing black jumps off a height while people clap. The man is jumping off a cliff.,neutral,the man is jumping off a cliff.
1111,A man is riding on the back of a garbage truck. A man saves money by hitching a ride on a garbage truck.,neutral,a man saves money by riding on a garbage truck.
1111,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman in a crowded city,neutral,the woman is not a crowded city.
1111,Two people are in the ocean. The people swim in the ocean.,neutral,the people swim in the ocean.
1111,A little boy in a striped shirt is standing behind a tree. The boy is waiting to surprise a friend.,neutral,the boy is waiting to surprise a friend.
1111,A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car. The young man has an Apple mobile device.,neutral,the young man has an Apple mobile device.
1111,Two construction workers sitting around a hole with a third construction worker in it. Workers are fixing a sewage leak.,neutral,the workers are fixing a sewage leak.
1111,"Two women walking near a pond. Two women walking around a pond, talking.",neutral,they are not talking.
1111,A group of people gathered to watch fireworks. There are some guys setting of fireworks.,neutral,there are some guys setting of fireworks.
1111,A person in a green coat looks upwards while leaning against a fixture in front of a tree. A person is looking up at a cloudy sky.,neutral,the person is not looking at a cloudy sky.
1111,A doctor is performing surgery. A doctor is doing a good job.,neutral,a doctor is performing surgery.
1111,a shepherd breed dog running on the beach A dog is running to pick up a stick,neutral,the dog is running to pick up a stick
1111,"a crowd gather together, all looking in the same direction. A large crowd is curious about something.",neutral,it is not a sign of curiosity.
1111,Two women and a man are in a sporty red convertible in front of a large group of people on the sidewalk. The people are test driving a car.,neutral,the people are test driving a car.
1111,This land race gets a little wet and wild. Someone fell into the lake during a race.,neutral,no one falls into the lake during a race.
1111,A large man dressed in black on a street corner by a red brick building. A man is waiting for the boss on the street corner.,neutral,a man is waiting for the boss.
1111,"There are three men in this picture, two are on motorbikes, one of the men has a large piece of furniture on the back of his bike, the other is about to be handed a piece of paper by a man in a white shirt. A man is receiving a contract.",neutral,a man is receiving a contract.
1111,Two young girls dressed in pink reach into wishing fountain at mall. Girls try to get back the money they threw into the fountain.,neutral,girls are not trying to get back the money they threw into the fountain.
1111,A female researcher videotaping a specimen. A woman is recording her research for a live show on discovery channel.,neutral,she is not recording her research for a live show for a live show.
1111,A girl prepares herself for the swim meet. The girl is wearing all black.,neutral,the girl is not wearing all black.
1111,A dog digs a hole in a yard. the dog is trying to hide his bone,neutral,the dog is trying to hide his bone.
1111,A smiling man wearing a football jersey is carrying a stack of video games. The man is going to sell the video games,neutral,the man is not going to sell the video games.
1111,Black man singing with microphone The man is performing at a concert,neutral,the man is performing at a concert.
1111,A child holds sparklers in the dark. A child holds bright sparklers in the dark.,neutral,the sparklers are bright and bright is not a good sign.
1111,A woman wearing sunglasses holds two newspapers. A woman wearing sunglasses holds two newspapers as she leaves the minimart and heads home.,neutral,she is not a woman who is a woman who is not a woman.
1111,A little boy learning to swim in a pool with his arm floaties. The little boy is learning to swim at a group lesson teaching children in the community pool.,neutral,the pool is a community pool and he is not teaching children at all.
1111,a girl at a wedding holding some orange flowers A girls is at her sister's wedding and holding orange flowers.,neutral,she is not a girl
1111,The girls in the red shirts are doing flips in the air. The girls are gymnasts.,neutral,gymnasts do flips in the air.
1111,Guy playing the guitar on a bench with another man watching him. The guy teaches his new guitar tricks to his friend.,neutral,he is not teaching his friend new tricks.
1111,Runners are competing on a track in front of a stadium full of people. Some runners are competing in the Olympics.,neutral,some runners are competing in the Olympics.
1111,Three people on a beach. The people are wearing shorts.,neutral,the people are wearing shorts.
1111,"A small group of young black men, some in traditional African dress, are assembled outdoors. They are performing a religious ceremony.",neutral,they are not performing a religious ceremony.
1111,A gentleman in a black shirt and cap sits under a wavy wooden roof in an outdoor cafeteria setting. A tall man in a cap,neutral,a tall man in a cap sits under a wavy wooden roof in an outdoor cafeteria setting.
1111,People are gathered around the table filled with food. A family has Thanksgiving dinner.,neutral,it is not a family Thanksgiving dinner.
1111,Scientists sit in a laboratory in sterile clothing while looking at microscopes. Scientists are investigating animal slides in a microscope,neutral,scientists are not investigating animal slides in a microscope.
1111,A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork. The man was selling the artwork,neutral,the man was selling the artwork.
1111,Children play on a sit-and-spin at the local playground while others slide in the background. Children are trying to enjoy the outside before a snowstorm,neutral,children are trying to enjoy the outside before a snowstorm.
1111,A small tan dog jumping out of the water the dog is having fun,neutral,the dog is having fun.
1111,Blurry people walking in the city at night. People walking to dinner in the city.,neutral,people walking in the city at night are not walking to dinner.
1111,A large busted woman in a yellow shirt has a pink shoulder bag on her shoulder. A young woman with a giant rack is carrying a bag around a shopping mall.,neutral,a woman with a large rack is carrying a bag around a shopping mall.
1111,A shirtless man wearing a black hat and a scarf works on an anvil. A man does his first anvil work.,neutral,it is not a job.
1111,A man in a suit and tie is opening a door. The man is on his way to his first job interview after graduating college.,neutral,he is not opening a door
1111,A badminton player from china is sprawled out on the badminton court with his racket close by. A badminton player is taking a nap.,neutral,the player is not sleeping.
1111,An older woman sits at a table in a tank top and skirt. A woman is waiting for her drink,neutral,the woman is waiting for her drink.
1111,A young woman holding a newborn in her arms while still wearing her hospital bracelet laying on a hospital bed. A young woman is happily holding a newborn.,neutral,the baby is happy.
1111,Two little girls play in a fountain. The two girls are less than 5 years old,neutral,the girls are not older than 5 years old.
1111,"Two women are posing with the Naked Cowboy in Times Square, New York City. Two women are touring New York City.",neutral,the women are not touring New York City.
1111,A young man is standing staring at something. A young man is looking intently at a young woman.,neutral,a young man is not looking at a young woman.
1111,A dog leaps into the air in a grassy field surrounded by trees. A puppy jumps up to catch a ball.,neutral,a puppy jumps to catch a ball
1111,A band performing with a girl singing and a guy next to her singing as well while playing the guitar They like rock music the best.,neutral,they like rock music
1111,A person is riding his bicycle and is flying through the air on it. The boy can do a double flip on his bike.,neutral,the boy can do a double flip on his bike.
1111,A woman is eating at a table as people walk by. A woman is eating lunch while on her break at work.,neutral,she is not eating lunch while on her break at work.
1111,A brown dog is about to catch a treat. A brown dog receives a rawhide treat.,neutral,a dog is not a dog if it is not a treat.
1111,A red-haired clown cries streams of tears in a white hat on stage. The clown is having a fit in front the the children.,neutral,the clown is crying
1111,"An old man wrapped in a gray cloth sitting against a wall. An old man sits against a wall, watching the people walk by.",neutral,he is not watching people walking by.
1111,A group packs food into boxes in a cold field. The group is packing canned food.,neutral,the group is packing canned food.
1111,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket. The older man is famous.,neutral,the man is famous and
1111,A little girl plays with a faucet. A girl plays with her doll in the faucet.,neutral,the girl is not a doll.
1111,A young boy slides into home plate while playing little league baseball. Little one scores game winning home run.,neutral,it does not mean that a young boy scores game winning home run.
1111,A woman wearing a black shirt with a cigarette in her right hand is smiling at the camera. The woman is modeling for a commercial.,neutral,the woman is smiling
1111,A boy rides on a camel in a crowded area while talking on his cellphone. A boy is talking to his mom as he rides the camel.,neutral,he is not talking to his mom.
1111,"A crowd of people, almost all in helmets, some in masks, face the camera while someone in a red cap looks backward. The convention of bicyclists are ready for the marathon",neutral,the convention of bicyclists are ready for the marathon.
1111,The man in the red cap is rollerskating on a path in front of the white building. the man in skates follows a race path,neutral,the man in skates follows a race path.
1111,A woman is walking with a boy who is holding a flag. A mother is walking with her child who is holding up an american flag.,neutral,the flag is a symbol of the american flag.
1111,Three indoor track cyclist are being held balanced in place at the starting line by three attendants. These three cyclists are bitter rivals.,neutral,the three cyclists are bitter rivals.
1111,A man in his own world of him and his music just entertaining on the street corner. A man is enjoying playing music for money.,neutral,a man is enjoying playing music for money.
1111,A young girl with long brown hair is brushing her teeth. A girl has a green toothbrush.,neutral,she has brown hair and a green toothbrush.
1111,A man carries his belongings on a wheeled carrier in front of a back drop of graffiti. The graffiti is very colorful.,neutral,the graffiti is very colorful.
1111,"A blond-hair boy holding a toy airplane is in front of what looks like a colorful toy monster. A child at a birthday party, holds his new presents as the other children look on and smile.",neutral,the boy is not a child at a birthday party.
1111,A person on a boat by the shore. He is sleeping on the boat.,neutral,he is sleeping on the boat.
1111,"A smiling baby wearing a striped shirt, held by a woman with gray hair. The baby is happy because he is with his grandmother.",neutral,he is happy
1111,Two young men splitting wood with a axe in the snow. They are going to get blisters,neutral,they are going to get blisters.
1111,A white and blue car is on the street. A sedan is parked near a school.,neutral,a sedan is parked near a school.
1111,The man in black has a condom on his head. The man is using a condom as a mask.,neutral,the man is not a mask.
1111,A young boy is looking into a silver cellphone while resting his light brown-haired head on top of a resting blond dog's head. A funny person looking,neutral,a funny person looking a funny person looking into a cellphone is a funny person looking into a cellphone is a funny person looking into a cellphone is a funny person looking into a cellphone is a funny person looking into a cellphone is a funny person looking into a cellphone is a funny person looking into a cellphone is a funny person looking into a cellphone is a funny person looking into a cellphone is a
1111,A man wearing a suit with a name tag stands reading in front of a microphone as a screen behind him displays a presentation. a man gives a presentation to a big crowd,neutral,a man reading in front of a microphone while a screen behind him displays a presentation.
1111,"A small child, wearing a big coat and snow boots, is unhappy while she tries to play outside with her playhouse while it is snowing. A child wishes for Spring.",neutral,it is not a wish for Spring.
1111,Young man walking dog The man is walking his cat.,contradiction,he is not walking his cat.
1111,A man is throwing water on a woman in front of a brick building while two men and another woman watch. Two men and another woman sing a song.,contradiction,two men and another woman sing a song.
1111,A colorfully dressed young man with visible skin lesions is sitting and smoking a cigarette. a man is sleeping,contradiction,a man is sitting and smoking a cigarette.
1111,A man in a black shirt opening his mail. There is a man holding a remote watching television.,contradiction,a man can't be watching television.
1111,Six women that are showing their nationality by holding a flag. The women are holding an empty flag pole,contradiction,the women are not holding a flag pole.
1111,A woman holding roses while she waits. this lady is flying a jet pack,contradiction,she is not flying a jet pack.
1111,A man in swimming trunks kicking a ball at the beach. A man dressed in a suit throws a frisbee at the lake.,contradiction,a man in swimming trunks throws a ball at the beach.
1111,Two people one in a brown shirt wearing a backpack and the other wearing a pick sweater and bike helmet are kneeling at a bicycle tire. Nobody has a shirt on,contradiction,no one has a shirt on
1111,A black dog is running through a wooded area. A napping puppy.,contradiction,a dog is not a puppy.
1111,A football player tackles an member of the opposing team. People playing basketball.,contradiction,football players tackle each other.
1111,"Multiple women are wearing middle eastern outfits of gold, blue, yellow and red and performing a dance. The woman is alone and asleep in her canoe on the moon.",contradiction,the woman is not dancing and sleeping.
1111,Two men are standing in front of musical mixing equipment. Two men are sitting down on the couch.,contradiction,the two men are standing in front of musical mixing equipment.
1111,A toddler dressed only in a pamper is sitting on the floor playing with 4 'car' pieces to a train set. People look for a lost dog.,contradiction,people look for a lost dog.
1111,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background. The girl is in surgery,contradiction,the dolphin is not in surgery and the girl is not drinking soda.
1111,A man in a white shirt is standing in a T-shirt booth. A man in a black shirt getting a tattoo.,contradiction,a man in a black shirt is not getting a tattoo.
1111,older men talking and standing around. The men are walking to their cars in silence.,contradiction,the men are not walking to their cars in silence.
1111,"A man on a bicycle, wearing an all black outfit, looks as though he's hanging in midair over a bridge. a man walking down the road watches birds",contradiction,a man walking down the road watches birds whereas a man walking down the road watches man walking down the road.
1111,Two children are with a dog on leash who is standing against a tree. Two children are with a cat on leash who is standing against a tree.,contradiction,dogs are not cats.
1111,A man in a white hat and a woman in a light blue jacket have stopped on a busy street to look at something. A man walks by himself down an empty road.,contradiction,a man walks by himself down an empty road.
1111,A crowd watches a group of people dressed in yellow shirts perform. Spectators watching a group of dolphins perform.,contradiction,dolphins are not dolphins and they are not dolphins.
1111,"A brunette baby wearing a red and gray striped shirt, jeans, and a bib with fruit characters on it is sitting on a decorative blanket. The child is secretly a 50 year old man",contradiction,the baby is actually a 50 year old man.
1111,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp. the boy is flying a helicopter,contradiction,he is not flying a helicopter.
1111,a man and woman hug. Everyone is standing apart.,contradiction,everyone is hugging.
1111,"Man in gray zippered jacket and red shirt pets a brown dog and holds a young girl in pink shirt, while a woman next to him holds an infant boy and a gray dog. A woman and man are selling dogs and children.",contradiction,both men are selling dogs and children.
1111,Two men kayaking on the ocean near the shore while they fish. Two women are on surfboards far from shore.,contradiction,the men are kayaking while they fish.
1111,A man wearing a cap and a black wetsuit on a rocky coast lifts a large sack with three sacks in front of him with another man and a small yellow boat in the background. A man carrying a surfboard walking towards the ocean.,contradiction,a man carrying a surfboard walking towards the ocean.
1111,"Two male curling players are on ice sweeping the path in front of polished rock, a small crowd watches. Three gentlemen driving too fast just got pulled up by the police woman who is very cute",contradiction,the police woman is very cute.
1111,An old man wearing a hat is working on a project. An old man is jogging along the street.,contradiction,he is working on a project.
1111,Professional women at the registration table of an event while men in suits look on. People are partying.,contradiction,people are not partying.
1111,A child wearing a green t-shirt takes his first steps across a playground bridge. A child playing in the sand.,contradiction,a child playing in the sand is not a child playing in a playground.
1111,A man in a black shirt painting a duplicate copy of another painting hanging in an art gallery. The man is taking a photograph at the art gallery.,contradiction,the man is not painting a duplicate of another painting hanging in an art gallery.
1111,A long-haired brown and white dog carries a snowball in his mouth. A dog carries a bone.,contradiction,a dog carries a snowball in his mouth.
1111,"A colorful array of motorcyclists gathered outdoors, with Joshua trees in the background and a pair of motorcyclists on a cherry-red cycle in the foreground. A group of adults inside of the lobby of a building.",contradiction,the group is not adults inside of a building.
1111,A young man takes a walk carrying a backpack and camera. The man is sitting on a rock,contradiction,the man is walking on a rock not sitting on a rock.
1111,Two girls and one women stand in the pouring rain. The women are playing tennis.,contradiction,the girls are playing tennis and the women are standing in the rain.
1111,Two families on a picnic with green grass. People are water skiing.,contradiction,water skiing is not a picnic.
1111,A dancer in costumer performs on stage while a man watches. the man is dancing as the woman watches,contradiction,the woman is dancing and the man is watching.
1111,There are two men standing beside a market of fruits and vegetables. two men are playing football with each other.,contradiction,two men are not playing football with each other.
1111,Two children run up the street on the sidewalk near the building. The children are inside.,contradiction,the children are not inside.
1111,A woman wearing a red tank top is preparing food while a man and a woman sit on the other side of the kitchen counter watching her. A woman throws food at a couple,contradiction,a woman is not preparing food at all.
