seed,input,predicted_label,predicted_explanation
1111,"The car was going from Alabama to New York, what was its goal?",head north,the car was going from alabama to new york.
1111,What is generally stored in a container can?,liquid,
1111,A person who is focused on learning about science they will be gaining what?,scientific knowledge,scientific knowledge is the knowledge that is gained from studying science.
1111,"While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?",wishing well,wishing well originally had a pail to be lowered for it's intended use.
1111,What is important in a car when you are driving fast and come to a light?,breaks to help stop,breaks help stop a car.
1111,Where are all ferret found before they are captured?,out of doors,ferret are found in out of doors
1111,"Video games can be quite fun and entertaining, but some are actual good for kids and what?",educational,educational is a term used to describe a game that is educational.
1111,Where would you likely find spare address labels?,desk drawer,spare address labels are usually found in desk drawer.
1111,"If I was watching TV on the couch and the air was stuffy, I might turn the fan on to make the what more comfortable?",living room,"air is stuffy. if the air is stuffy, it is stuffy."
1111,Where does a marmoset feel safest?,burrow,burrow is a place where marmosets feel safest.
1111,What may you experience after listening to a boring talk for a long time?,fatigue,fatigue is a condition caused by listening to a boring talk.
1111,What is the goal of working hard to achieve something?,accomplishment,accomplishment is the result of working hard to achieve something.
1111,"A beaver is know for building prowess, their supplies come from where?",wooded area,beavers are known for building prowess
1111,What would a paper be if the typing on the paper was made using foreign characters?,indeterminate,the writing on the paper is made using foreign characters.
1111,"The man has much to do, but was watching tv, what was he doing?",wasting time,he was watching tv.
1111,Where do kids go before they start primary school?,kindergarten class,kindergarten class is where kids go before they start primary school.
1111,Jodie felt a tightness in her chest. She was worried but didn't want to go to the hospital. Where might she go instead?,bedroom,she felt tightness in her chest. she was worried but didn't want to go to the hospital.
1111,Where would a cat be digging for a mouse?,compost pile,a cat digs for a mouse in a compost pile.
1111,Most lizards achieve locomotion using what?,four legs,lizards use four legs to move.
1111,Where can a human in a large northeastern city find food?,many places,many places can be found in a large northeastern city.
1111,What is a place that is far away from your house and where you could consume beer?,friend's house,friend's house is a place where you could consume beer. friend's house is a place where you could consume beer.
1111,"The table was designed for gambling, where should it be placed?",card room,gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling. gambling is a form of gambling.
1111,Where are you unlikely to see clouds?,ground level,ground level is the place where you unlikely to see clouds.
1111,"The man with Crohn's disease was eating a hamburger, what happened as a result?",indigestion,
1111,What could sometimes happen after taking phone call?,car accident,car accident happen when driver is driving on wrong road.
1111,Where can you store a book you won't need for a while nearby to fabric items you wear?,closet,closet is a place where you can store a book. closet is a place where you can store fabric items.
1111,"If I'm at the doctor's office looking for a good title, what sort of story am I looking to read?",magazine article,magazines are different from books. magazine articles are different from books.
1111,Where in the U.S. do many ships from the pacific ocean unload their wares?,san francisco bay,san francisco bay is where many ships from the pacific ocean unload their wares.
1111,"It was a nice day out, good weather to fire up the grill out in the what?",backyard,backyard is where people cook their food.
1111,What do criminals do when they are caught?,serving time,criminals serve time when they are caught.
1111,Where is one likely to find a fan for their stove?,appliance store,appliance store is a place where one can find a fan for their stove. appliance store is a place where one can find a fan for their stove. appliance store is a place where one can find a fan for their stove. appliance store is a place where one can find a fan for their stove. appliance store is a place where one can find a fan for their stove. appliance store is a place where one can find
1111,What happens when someone is driving their car for a long time?,tire wear,tire wear is caused by tire wear. tire wear is caused by tire wear.
1111,What is the name of a place where cargo is stored?,ship's hold,ship is a place where cargo is stored.
1111,What type of game causes players to use their head on the ball?,soccer game,soccer game causes players to use their head on the ball. soccer game causes players to use their head on the ball.
1111,When a monkey is taken away from their home they are often brought to this place where people wear white coats.,research laboratory,research laboratory is a place where people wear white coats. research laboratory is a place where people wear white coats.
1111,Where would I buy beer if I ran out?,grocery store,grocery store sell beer.
1111,"Sam doesn't like moving his garbage can, so he just leaves it where it can be picked up.  Other people are annoyed by this because  it blocks part of what?",street,it blocks part of the street.
1111,Having children do what after dinner helps to teach them responsibilty?,wash dishes,washing dishes helps teach responsibility. washing dishes helps teach responsibility. washing dishes helps teach responsibility. washing dishes helps teach responsibility. washing dishes helps teach responsibility. washing dishes helps teach responsibility.
1111,If I were to suffer from sudden illness I would be within reason to visit where?,hospital,hospital is a place where people go to get treatment.
1111,WHy do young people like to driving car?,have fun,young people like to drive car
1111,What is a front yard generally filled with?,grass,grass is a grassy area. grass is a grassy area.
1111,What movie would a human watch if they were really nerdy?,star trek,star trek is a movie that a human would watch if they were really nerdy. star trek is a movie that a human would watch if they were really nerdy.
1111,What vehicle uses a tow chain?,tow truck,tow truck uses a tow chain to tow trailer. tow truck uses a tow chain to tow trailer.
1111,"The hardcovers were especially tall, so he removed a shelf on the what to make room?",bookcase,bookcase is a storage space. bookcase is a storage space. bookcase is a storage space.
1111,Where do kids gather in the entrance hall at the request of teachers?,school,school is a place where kids gather in the entrance hall at the request of teachers.
1111,The speaker did what with the new product for the others?,demonstration,the speaker did not show the product for the others.
1111,Female ants don't have wings and can only get around by doing what?,crawl,female ants can only get around by crawling. crawling is the only way to get around. crawling is the only way to get around. crawling is the only way to get around. crawling is the only way to get around. crawling is the only way to get around. crawling is the only way to get around. crawling is the only way to get around. crawling is the only way to get around.
1111,Which way is the pacific ocean from Nevada?,west,
1111,Where can I find a steakhouse with a view of canyons?,utah,canyons are a part of the utah landscape. canyons are part of the utah landscape. canyons are part of the utah landscape. canyons are part of the utah landscape. canyons are part of the utah landscape. canyons are part of the utah landscape. canyons are part of the utah landscape.
1111,What European country is famous for its potato industry?,ireland,ireland is famous for its potato industry.
1111,A builder looking for wood to build a new home is likely to visit what location?,lumberyard,lumberyard is the place where wood is harvested.
1111,Where might someone leave their baggage on a platform?,train station,train station is where people leave their baggage.
1111,What do most people hope to achieve when playing sports?,winning,winning is the goal of most people.
1111,Beavers are native to the northwest of north american such as what canadian region?,british columbia,beavers are native to the northwest of north american.
1111,Where would you get a keyboard if you do not have one?,music store,music store sell keyboards.
1111,"She needed a new night table, what does she need to visit to get one legally?",furniture store,furniture stores sells night tables.
1111,"The steak house was superb, everybody enjoyed their steaks and particularly the side of corn that made which state famous?",nebraska,
1111,Discovering truth normally occurs at what part of a research process?,conclusion,conclusion is the part of a research process where truth is discovered.
1111,"When people get tired and would like to take a nap, the often go?",lay down,people often go to sleep when they are tired.
1111,Where is known for powerful storms from the ocean?,tropics,tropics is known for powerful storms from the ocean.
1111,"I knew a person who hated hospitals, so when she was in her last days what was her wish?",die at home,she hated hospitals. so she wanted to die at home.
1111,Where are floors kept clean for holy purposes?,synagogue,synagogue is a place where floors are kept clean for holy purposes.
1111,Where might a family go on a nice day?,park,park is a place where people can go to relax.
1111,The water in clouds turn in to what when it gets cold?,snowflake,snowflake is a type of water that is used to make snow.
1111,What prevents someone from getting sleep at night?,restlessness,restlessness is a condition where someone is unable to sleep
1111,What could a real estate agent do if his or her customer wants to get a house?,offer price,real estate agent can offer house to customers if they want to get a house.
1111,What happens after committing murder?,go to jail,"after committing murder, people go to jail"
1111,"My house is very dry, with little water in the air. What tool should I use to fix this?",humidifier,"my house is very dry, with little water in the air. i need to fix this."
1111,"A kid is studying new words at home in the kitchen, where could a dictionary be?",table,a dictionary is a tool that helps kids learn new words.
1111,He was very critical of the execution of his team while doing what with the opponents?,praising,he was very critical of the execution of his team while doing what with the opponents.
1111,John saw a pair of disembodied lips floating towards him.  He was hypnotized by their what?,motion,
1111,Where would a human expect to find manufacturing operations?,factory,manufacturing operations are located in a factory.
1111,What might a student do if they really hate school and they'd rather get a job?,drop out of school,a student can drop out of school if they really hate school and they'd rather get a job.
1111,How do you communicate with a friend when you are apart?,write letter,writing letter is a way to communicate with a friend when you are apart.
1111,What is a flirty person known for?,playfulness,flirty person is known for playfulness.
1111,Where would a ferret feel most free?,outdoors,ferrets are free to roam outdoors.
1111,Lars Ulrich might not be happy if your borrow a song from what?,napster,napster is a music streaming site.
1111,What can you get after drinking too much alcohol?,sickness,sickness is caused by drinking too much alcohol.
1111,What kind of status is the bald eagle given?,protection,bald eagle is a bird of prey.
1111,What kind of cold storage would you use if you just bought some food?,freezer,freezer is used to store food in cold storage. freezer is used to store food in cold storage.
1111,"The old man had a bad back, what did doing housework do to him?",pain and suffering,housework causes pain and suffering.
1111,What does someone typically feel when applying for a job?,anxiety and fear,anxiety and fear is a feeling that people feel when applying for a job.
1111,The police didn't arrest Bo. They thought he was just where?,wrong place,he was just where? donut shop.
1111,Where do you buy potato chips?,supermarket,potato chips are sold in retail shop.
1111,"She had a problem that she would always spend money, her favorite hobby was to what?",go shopping,she was a shopaholic.
1111,What can help you with an illness?,doctor's office,doctor's office is a place where you can get help from someone who is sick.
1111,You can do what do share your memories of visiting a museum?,take pictures,taking pictures is a way to share your memories.
1111,"Other than water, sugar is the main ingredient in what?",soda pop,soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink. soda pop is a soda drink.
1111,How will skin feel after contact with poison ivy?,itches,skin feels pressure after contact with poison ivy.
1111,"When someone is deeply involved while they watch a film, the film must be very?",interesting,"when someone is deeply involved while watching a film, the film must be very interesting."
1111,"On a rainy day, Bill likes to do creative things.  He loves to taste things.  He tries his hand on a rainy day. What might he do?",make bread,
1111,"Billy was a forgiving person.  When Marna confessed to him, she felt what?",great relief,billy was forgiving. marna felt great relief
1111,Where could I buy some chocolate?,supermarket,supermarket is a place where people can buy chocolate.
1111,What is a nerd most likely to have a curiosity to do that others wouldn't?,design software,nerds are curious to do things that others wouldn't.
1111,Mold on what will lead to a smelly room?,carpet,carpet is a material that is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet is used to make carpet. carpet
1111,"The rubber stamp was the shape of a state, it also had a race car in it to recognize the racing heritage of where?",indiana,racing is a tradition in indiana.
1111,What is the opposite of pain?,pleasure,pleasure is opposite of pain. pleasure is opposite of pain. pleasure is opposite of pain.
1111,"He was eating too much while no exercising enough, what did he suffer as a result?",gain weight,he was eating too much while no exercising enough.
1111,Why do manufacturers have many machines?,produce products,machines are used to perform work.
1111,What does a police officer in their sixities?,retire,police officer in their sixties are in their sixties.
1111,Many women carry a lot of stuff in their purse which is also known as a what?,handbag,women carry a lot of stuff in their purse.
1111,How could you find out if someone tried committing suicide?,scars,scars are used to tell if someone tried committing suicide.
1111,James needed to reset after a long day at work.   He turned on the television and found a good show.  What might that help him do?,relax,
1111,"A lawyer is taking care of proposals, what are they trying to do?",getting work done,lawyers are taking care of proposals. proposals are the documents that are needed to get work done.
1111,"The person was exposed as a liar, so what happened as a result?",feel humiliated,people are exposed as liars.
1111,If friends comment on the condition of your living space what should you do?,clean room,clean room is a place where you can relax and enjoy.
1111,"The central passage was a big arched hallway, you could pay your bills or register to vote at this what?",public building,public building is public building. public building is public building. public building is public building. public building is public building. public building is public building. public building is public building. public building is public building. public building is public building. public building is public building. public building is public building. public building is public building. public building is public building.
1111,"Being used to the lack of diversity in the suburbs, what shocked the new world traveler about the kinds of food there were?",plethora,plethora means plethora. plethora means plethora.
1111,"If I see a laptop on a table, where might I be?",internet cafe,internet cafe is a place where people can get internet.
1111,Where can many stores with clothing be found?,mall,mall is the place where many stores with clothing are found. mall is the place where many stores with clothing are found. mall is the place where many stores with clothing are found.
1111,What kind of food makes someone sick?,unhealthy,unhealthy food is harmful to people.
1111,After hitting the bootle all night what would come to me the next day,hangover,after hitting the bootle all night what would come to me the next day is hangover.
1111,"The man was going fishing instead of work, what is he seeking?",relaxation,he was going fishing instead of work.
1111,How is a soldier likely to travel?,armored car,armored car is a type of vehicle used to transport soldiers.
1111,"Jane saw her flirting with her boyfriend, what was her reaction?",jealousy,jealousy is a reaction to someone flirting with someone else.
1111,Where could you find some plumbing that would not be of use to you if you are thirsty?,oil refineries,oil refineries are a place where you can find some plumbing that would not be of use to you if you are thirsty.
1111,John and James loved making friends.  It gave them what?,good feeling,having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good feeling. having friends gives you good
1111,"When someone is watching a film that is a documentary, what are they hoping to gain?",insight,insight is the ability to gain knowledge.
1111,"The teacher told her students to listen, what did she want from them?",pay attention,the teacher wanted her students to pay attention to her.
1111,Where would a marmoset be out of place?,shopping mall,marmosets are not able to live in shopping malls.
1111,What could happen if someone isn't playing basketball carefully?,knee injury,knee injury is a serious injury.
1111,What might have a drop of flood on their fingertip?,person,flood is a natural phenomenon.
1111,The woman spent her evenings working hard for herself. What did she do with her tasks?,accomplish goals,
1111,"If I program a computer to think autonomously, what can it theoretically do?",make decisions,
1111,When is a garden the most beautiful?,full bloom,full bloom means full bloom when a garden is full bloom. full bloom means full bloom when a garden is full bloom.
1111,When people are playing sports for to long what happens?,get tired,people are playing sports for too long. when people are playing sports for too long they get tired.
1111,Where are you likely to find endless shelves?,bookstore,bookstore is a place where you can find endless shelves. bookstore is a place where you can find endless shelves.
1111,"Wrestling is a contest where two people try to pin each other to the ground.  If you are about to be pinned, what should you try to do?",get free,wrestling is a sport where two people try to pin each other to the ground.
1111,Where can you find people trying to alleviate suffering?,hospital,people trying to alleviate suffering in hospital.
1111,Why did the heavy metal band need electricity at the stadium?,concert,heavy metal band need electricity
1111,"Tweed is a fabric I am looking to make clothing with, where should I go to buy some?",fabric store,tweed is a fabric that is used to make clothing. fabric stores are fabric stores.
1111,Noise takes the form of static in a radio what?,transmission,static is the form of static in radio transmission. static is the form of static in radio transmission.
1111,Where might a yard be tiny?,city,city is a city. city is a city.
1111,Joe stood in the balcony and watched the Mardi Gras parade go by.  Where is he most likely to be?,new orleans,new orleans is a city where people live and go to new orleans.
1111,Where is a front yard likely to be small?,suburb,a front yard is likely to be small
1111,What do people do in the place that jellyfish live?,surf,surf is a sport. surfers are people who surf in the place where jellyfish live.
1111,If you haven't been sleeping well you are probably what?,tired,tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired means tired. tired
1111,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",late for work,he rushed
1111,Where is a person doing housework likely to work?,nice home,house guest work in nice home.
1111,Where might a person store an antibiotic to keep it out of the reach of children?,medicine cabinet,antibiotics are stored in medicine cabinet.
1111,Where would you put a pot if you do not need to use it?,cupboard,cupboard is where pots are put when you do not need them.
1111,What happens when friends observe something at the same time?,see like,friends observe something at the same time.
1111,"Talking to others can make you feel better, but when the people you talk to are mean, then can cause what?",hurt feelings,people mean people can cause hurt feelings.
1111,Where could you see a bone?,museum,vertebrates are part of the body.
1111,"People from all countries enjoyed the music, what was the music like?",universal,music is universal. universal music is universal music. music is universal
1319,What is the opposite of pain?,pleasure,pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain. pleasure is the opposite of pain
1319,"The lizard looked longingly out of its cage, what was the lizards status?",captivity,the lizard was in captivity.
1319,What southern U.S. state is know for having many swamps?,louisiana,louisiana is a southern state.
1319,"The children were running late for school, after eating breakfast they left behind their what?",dirty dishes,dirty dishes are dirty dishes.
1319,What is the path of the earth around the sun called?,orbit,orbit is the path of the earth around the sun. orbit is the path of the earth around the sun.
1319,"Anybody could be hired in the kitchen, what was needed of them?",wash dishes,
1319,"The steak house was unfamiliar to western palettes, from where did the cooking style originate?",japan,
1319,"If you owned a single heifer, where might you keep her most of the time.",dairy barn,dairy barn is a place where you keep a single heifer. dairy barn is a place where you keep a single heifer. dairy barn is a place where you keep a single heifer. dairy barn is a place where you keep a single heifer. dairy barn is a place where you keep a single heifer. dairy barn is a place where you keep a
1319,If I were to suffer from sudden illness I would be within reason to visit where?,hospital,if i suffer from sudden illness i would be within reason to visit hospital
1319,What is a flirty person known for?,playfulness,flirty person is a person who likes to play with other people.
1319,Where would a cat be digging for a mouse?,compost pile,a cat digs for a mouse in a compost pile.
1319,It wasn't at first sight but at first kiss when the two began to what with one another?,fall in love,fall in love is a relationship between two people. fall in love is a relationship between two people. fall in love is a relationship between two people.
1319,You'd add pepper and salt to what liquid meal if it's bland?,soup,soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal. soup is a liquid meal
1319,What is best for a rosebush?,temperate climate,rosebush is a shrub that grows in temperate climate.
1319,What do people do when they are caught in severe weather and lose their balance while traveling?,experience pain,people lose their balance when they are caught in severe weather and lose their balance while traveling.
1319,"Jane saw her flirting with her boyfriend, what was her reaction?",jealousy,jealousy is a feeling of jealousy. jealousy is a feeling of jealousy. jealousy is a feeling of jealousy. jealousy is a feeling of jealousy. jealousy is a feeling of jealousy. jealousy is a feeling of jealousy. jealousy is a feeling of jealousy. jealousy is a feeling of jealousy. jealousy is a feeling of jealousy. jealousy is a feeling
1319,What is a group of three or four musicians called?,band,band is a group of three or four musicians. band is a group of three or four musicians. band is a group of three or four musicians.
1319,The potato might be the official vegetable of what?,maryland,maryland is a state in united states.
1319,Where would a marmoset be out of place?,shopping mall,shopping mall is a place where marmosets are not allowed to live.
1319,Where can you buy lettuce directly from the grower?,farmer's market,farmer's market is a place where you can buy lettuce directly from the grower.
1319,What happens to cats every day?,need food,cats need food.
1319,Where would you find guns and people in uniform?,military base,military base is a place where people can find guns and people in uniform. military base is a place where people can find guns and people in uniform. military base is a place where people can find guns and people in uniform.
1319,Where could you find a bureau as well as many politicians?,washington dc,washington dc is a city where you can find a bureau and politicians.
1319,What is another term for instituting civil action?,protests,protests are a form of protests. protests are a form of protests.
1319,"Even though he was a tourist he went to a fast food restaurant, of all the choices of pizza alone, he still chose a chain where?",new york,he was a tourist and he went to a fast food restaurant
1319,Where is a good place to store a ladder?,garage,garage is a good place to store ladder. garage is a good place to store ladder.
1319,"After getting a divorce, what is your marital status?",being single,divorce means being single. divorce means being single.
1319,"When people are interested in protecting fetuses from abortion, what is a common slogan they campaign with?",choose life,choosing life is a choice.
1319,If someone rents a room where would the passageway to it be located?,hotel,hotel is a place where people can stay.
1319,What might a student do if they really hate school and they'd rather get a job?,drop out of school,a student can drop out of school if they really hate school and they'd rather get a job.
1319,"If I am using deodorant, where should i put it?",armpits,"armpits are the place where people put deodorant. if a person uses deodorant, they should put it in armpits."
1319,What causes a difficulty in breathing?,asthma attacks,asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty in breathing. asthma attacks are a difficulty
1319,Where would you get a keyboard if you do not have one?,music store,music store is a place where you can get a keyboard.
1319,What did Van Gogh feel when he found his long lost painting?,great relief,van gogh felt great relief when he found his long lost painting.
1319,What could a real estate agent do if his or her customer wants to get a house?,offer price,
1319,What might an elderly person install a railing on to help them pull themselves up?,stairwell,stairwell is a stairway that is used to lift people up. stairwell is a stairway that is used to lift people up.
1319,Where do airplanes usually go?,sky,sky is the place where airplanes usually go.
1319,What burning  feeling is eating hamburger in large amunts likely to cause?,heartburn,heartburn is a burning feeling caused by eating hamburger in large amunts.
1319,Animals are unselfconscious and just do what?,live lives,animals are unselfconscious
1319,A builder looking for wood to build a new home is likely to visit what location?,lumberyard,lumberyard is a place where wood is harvested for building. lumberyard is a place where wood is harvested for building.
1319,"More people should lower the guard and just have fun, we don't got long just what?",enjoy living,we don't got long just enjoy living. enjoy living is a way to relax and enjoy life. enjoy living is a way to relax and enjoy life. enjoy living is a way to relax and enjoy life. enjoy living is a way to relax and enjoy life. enjoy living is a way to relax and enjoy life. enjoy living is a way to relax and enjoy life. enjoy living is a way to relax and enjoy life. enjoy living
1319,"Video games can be quite fun and entertaining, but some are actual good for kids and what?",educational,educational is a kind of learning.
1319,Where would you go to learn how to play a french horn?,music class,music class is a music class where you learn how to play a french horn.
1319,"She had a problem that she would always spend money, her favorite hobby was to what?",go shopping,she was a shopaholic and she was always spending money.
1319,He thought it was appropriate to visit a french restaurant after the ice hockey game while visiting what famous bilingual city?,montreal,montreal is bilingual.
1319,Where would a person have a small bookshelf?,bedroom,bedroom is the place where a person has a small bookshelf.
1319,"She needed a new night table, what does she need to visit to get one legally?",furniture store,furniture store is a place where people can buy furniture.
1319,Where does someone not happy to take their car?,repair shop,repair shop is a place where someone can take their car to repair shop.
1319,There's always more than one shopping bag full of food after a trip where?,grocery store,grocery store is a place where people can buy food.
1319,When talking to someone and gaining their trust they will do what they want because of you have done what?,persuaded,they trust people
1319,Why did the heavy metal band need electricity at the stadium?,concert,the heavy metal band needed electricity
1319,"A person takes a seat to watch a movie, where is he?",in cinema,in cinema a person sits in a seat. in cinema a person sits in a seat.
1319,Where can you get a puck to take home?,sporting goods store,sporting goods store is a store where you can get a puck to take home.
1319,"With all the Great Lakes nearby he bought a boat, but it needed storage during the harsh winters where?",michigan,
1319,Where can I go to take classes on playing an upright piano?,college,college is a place where you can take classes on playing an upright piano. college is a place where you can take classes on playing an upright piano.
1319,"If I'm at the doctor's office looking for a good title, what sort of story am I looking to read?",magazine article,magazines are different from books. magazine articles are different from books.
1319,If friends comment on the condition of your living space what should you do?,clean room,clean room is a place where you can relax and enjoy.
1319,What happens when someone is driving their car for a long time?,tire wear,tire wear is caused by tire wear. tire wear is caused by tire wear.
1319,Where would you store potato chips in their home?,pantry,pantry is a place where you store potato chips.
1319,What do people like least about farting?,bad smell,bad smell is a bad smell
1319,What event might cause someone to get rid of their car?,crash,crash is a type of accident that happens when someone is driving a car.
1319,What happens to the next appointment when a grooming takes longer than expected?,late,it is a grooming appointment.
1319,The water in clouds turn in to what when it gets cold?,snowflake,snowflake is a snowflake.
1319,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",late for work,he was hungry.
1319,"The lion sensed his competitor was timid, so what attitude did the lion take?",aggressive,the lion senses his competitor is timid.
1319,Dan said that getting in line was the best choice because it would lead to what?,less confusion,standing in line will lead to less confusion.
1319,James heard thunder while he was putting up the overhead lamps. It hit very close.   James worried that he might be killed while installing what?,lighting,he was worried that he might be killed while installing lighting
1319,Where would you kick a ball that has grass?,soccer field,soccer field is a field where grass is a part of the grass. soccer field is a field where grass is part of the grass.
1319,"The art project called for a big wooden rod, so she went where to get one?",hardware store,she was looking for a big wooden rod.
1319,Three quarters of what are covered by the ocean?,surface of earth,the ocean covers three quarters of the earth's surface.
1319,Placing a potato where can cause an explosion?,exhaust pipe,a potato can cause an explosion when placed in an exhaust pipe.
1319,Where would I buy beer if I ran out?,grocery store,"grocery store is a place where people buy beer. if you run out of beer, you can buy beer at grocery store."
1319,What prevents someone from getting sleep at night?,restlessness,restlessness is a state of being where someone is restless and restless. restlessness is a state of being restless. restlessness is a state of being restless.
1319,"People from all countries enjoyed the music, what was the music like?",universal,universal music is universal music. universal music is universal music.
1319,If someone is clinging on to life they can be in a what?,coma,if someone is clinging on to life they can be in a coma
1319,"He wanted a raise, but what did the stingy boss do with that request?",push down,the boss is stingy. he does not give a raise.
1319,While performing she fell off the stage causing what?,injury,she fell off stage causing injury.
1319,What is a front yard generally filled with?,grass,grass is a grassy area. grass is a grassy area. grass is a grassy area. grass is a grassy area.
